victims,date,type_of_attack,location,notes,name,age,sex,country
"Nuriye Alacahan, 70, femaleGaziye Can, 38, female","July 8, 2014",Rabid,"Yenibardak, Gerger, Turkey",A wolf seriously injured two women in a field.,Nuriye Alacahan,NA,NA,Turkey
"Nuriye Alacahan, 70, femaleGaziye Can, 38, female","July 8, 2014",Rabid,"Yenibardak, Gerger, Turkey",A wolf seriously injured two women in a field.,NA,NA,NA,Turkey
"Nuriye Alacahan, 70, femaleGaziye Can, 38, female","July 8, 2014",Rabid,"Yenibardak, Gerger, Turkey",A wolf seriously injured two women in a field.,female,NA,female,Turkey
"Nuriye Alacahan, 70, femaleGaziye Can, 38, female","July 8, 2014",Rabid,"Yenibardak, Gerger, Turkey",A wolf seriously injured two women in a field.,Gaziye Can,NA,NA,Turkey
"Nuriye Alacahan, 70, femaleGaziye Can, 38, female","July 8, 2014",Rabid,"Yenibardak, Gerger, Turkey",A wolf seriously injured two women in a field.,NA,NA,NA,Turkey
"Nuriye Alacahan, 70, femaleGaziye Can, 38, female","July 8, 2014",Rabid,"Yenibardak, Gerger, Turkey",A wolf seriously injured two women in a field.,female,NA,female,Turkey
"Cuma Dalbudak, 53, maleSelahattin Öcal, 48, male","June 3, 2014",Predatory,"Küçükavşar, Delice, Kırıkkale, Turkey",Wolves injured two shepherds.,Cuma Dalbudak,NA,NA,Turkey
"Cuma Dalbudak, 53, maleSelahattin Öcal, 48, male","June 3, 2014",Predatory,"Küçükavşar, Delice, Kırıkkale, Turkey",Wolves injured two shepherds.,NA,NA,NA,Turkey
"Cuma Dalbudak, 53, maleSelahattin Öcal, 48, male","June 3, 2014",Predatory,"Küçükavşar, Delice, Kırıkkale, Turkey",Wolves injured two shepherds.,male,NA,male,Turkey
"Cuma Dalbudak, 53, maleSelahattin Öcal, 48, male","June 3, 2014",Predatory,"Küçükavşar, Delice, Kırıkkale, Turkey",Wolves injured two shepherds.,Selahattin,NA,NA,Turkey
"Cuma Dalbudak, 53, maleSelahattin Öcal, 48, male","June 3, 2014",Predatory,"Küçükavşar, Delice, Kırıkkale, Turkey",Wolves injured two shepherds.,NA,NA,NA,Turkey
"Cuma Dalbudak, 53, maleSelahattin Öcal, 48, male","June 3, 2014",Predatory,"Küçükavşar, Delice, Kırıkkale, Turkey",Wolves injured two shepherds.,male,NA,male,Turkey
"Öner Kırdar, 36, male","April 21, 2014",Unprovoked,"Kapidag, Bandirma, Turkey",A wolf seriously injured a man in the evening.,NA,NA,NA,Turkey
"Öner Kırdar, 36, male","April 21, 2014",Unprovoked,"Kapidag, Bandirma, Turkey",A wolf seriously injured a man in the evening.,NA,NA,NA,Turkey
"Öner Kırdar, 36, male","April 21, 2014",Unprovoked,"Kapidag, Bandirma, Turkey",A wolf seriously injured a man in the evening.,male,NA,male,Turkey
"Nikolai Mikhailov, adult, male",January 2014,Rabid,"Vasyukova Village, Bezhetsky District, Tver Oblast, Russia",A wolf seriously injured a man outside a shed before being shot by a hunter.,Nikolai Mikhailov,NA,NA,Russia
"Nikolai Mikhailov, adult, male",January 2014,Rabid,"Vasyukova Village, Bezhetsky District, Tver Oblast, Russia",A wolf seriously injured a man outside a shed before being shot by a hunter.,adult,adult,NA,Russia
"Nikolai Mikhailov, adult, male",January 2014,Rabid,"Vasyukova Village, Bezhetsky District, Tver Oblast, Russia",A wolf seriously injured a man outside a shed before being shot by a hunter.,male,NA,male,Russia
"Resident, 74, female","January 10, 2014",Rabid,"Mălureni, Argeș County, Southern Central Romania","In the evening, a wolf injured a woman in her yard.",Resident,NA,NA,Southern Central Romania
"Resident, 74, female","January 10, 2014",Rabid,"Mălureni, Argeș County, Southern Central Romania","In the evening, a wolf injured a woman in her yard.",NA,NA,NA,Southern Central Romania
"Resident, 74, female","January 10, 2014",Rabid,"Mălureni, Argeș County, Southern Central Romania","In the evening, a wolf injured a woman in her yard.",female,NA,female,Southern Central Romania
"Ruslan Nuritdinov, 35, male","January 6, 2014",Rabid,"Udachny, Mirninsky District, Sakha Republic, Russia",A wolf injured a man who was beginning a night shift.,Ruslan Nuritdinov,NA,NA,Russia
"Ruslan Nuritdinov, 35, male","January 6, 2014",Rabid,"Udachny, Mirninsky District, Sakha Republic, Russia",A wolf injured a man who was beginning a night shift.,NA,NA,NA,Russia
"Ruslan Nuritdinov, 35, male","January 6, 2014",Rabid,"Udachny, Mirninsky District, Sakha Republic, Russia",A wolf injured a man who was beginning a night shift.,male,NA,male,Russia
"Meryem Öztürk, 70, femaleElif Sevinç, 60, maleBaki Gündoğdu, 45, femaleMevlüt Yiğit, 26, male","January 3, 2014",Predatory,"Kederli Village, Ağaçören District, Aksaray Province, Turkey","Wolves entered the village, injuring at least 4 people.",Meryem,NA,NA,Turkey
"Meryem Öztürk, 70, femaleElif Sevinç, 60, maleBaki Gündoğdu, 45, femaleMevlüt Yiğit, 26, male","January 3, 2014",Predatory,"Kederli Village, Ağaçören District, Aksaray Province, Turkey","Wolves entered the village, injuring at least 4 people.",NA,NA,NA,Turkey
"Meryem Öztürk, 70, femaleElif Sevinç, 60, maleBaki Gündoğdu, 45, femaleMevlüt Yiğit, 26, male","January 3, 2014",Predatory,"Kederli Village, Ağaçören District, Aksaray Province, Turkey","Wolves entered the village, injuring at least 4 people.",female,NA,female,Turkey
"Meryem Öztürk, 70, femaleElif Sevinç, 60, maleBaki Gündoğdu, 45, femaleMevlüt Yiğit, 26, male","January 3, 2014",Predatory,"Kederli Village, Ağaçören District, Aksaray Province, Turkey","Wolves entered the village, injuring at least 4 people.",Elif Sevin,NA,NA,Turkey
"Meryem Öztürk, 70, femaleElif Sevinç, 60, maleBaki Gündoğdu, 45, femaleMevlüt Yiğit, 26, male","January 3, 2014",Predatory,"Kederli Village, Ağaçören District, Aksaray Province, Turkey","Wolves entered the village, injuring at least 4 people.",NA,NA,NA,Turkey
"Meryem Öztürk, 70, femaleElif Sevinç, 60, maleBaki Gündoğdu, 45, femaleMevlüt Yiğit, 26, male","January 3, 2014",Predatory,"Kederli Village, Ağaçören District, Aksaray Province, Turkey","Wolves entered the village, injuring at least 4 people.",male,NA,male,Turkey
"Meryem Öztürk, 70, femaleElif Sevinç, 60, maleBaki Gündoğdu, 45, femaleMevlüt Yiğit, 26, male","January 3, 2014",Predatory,"Kederli Village, Ağaçören District, Aksaray Province, Turkey","Wolves entered the village, injuring at least 4 people.",Baki G,NA,NA,Turkey
"Meryem Öztürk, 70, femaleElif Sevinç, 60, maleBaki Gündoğdu, 45, femaleMevlüt Yiğit, 26, male","January 3, 2014",Predatory,"Kederli Village, Ağaçören District, Aksaray Province, Turkey","Wolves entered the village, injuring at least 4 people.",NA,NA,NA,Turkey
"Meryem Öztürk, 70, femaleElif Sevinç, 60, maleBaki Gündoğdu, 45, femaleMevlüt Yiğit, 26, male","January 3, 2014",Predatory,"Kederli Village, Ağaçören District, Aksaray Province, Turkey","Wolves entered the village, injuring at least 4 people.",female,NA,female,Turkey
"Meryem Öztürk, 70, femaleElif Sevinç, 60, maleBaki Gündoğdu, 45, femaleMevlüt Yiğit, 26, male","January 3, 2014",Predatory,"Kederli Village, Ağaçören District, Aksaray Province, Turkey","Wolves entered the village, injuring at least 4 people.",Mevl,NA,NA,Turkey
"Meryem Öztürk, 70, femaleElif Sevinç, 60, maleBaki Gündoğdu, 45, femaleMevlüt Yiğit, 26, male","January 3, 2014",Predatory,"Kederli Village, Ağaçören District, Aksaray Province, Turkey","Wolves entered the village, injuring at least 4 people.",NA,NA,NA,Turkey
"Meryem Öztürk, 70, femaleElif Sevinç, 60, maleBaki Gündoğdu, 45, femaleMevlüt Yiğit, 26, male","January 3, 2014",Predatory,"Kederli Village, Ağaçören District, Aksaray Province, Turkey","Wolves entered the village, injuring at least 4 people.",male,NA,male,Turkey
Eight people,"October 20, 2013",Rabid,"Nasirabad, Parikhan, and Hajjilu villages, Meshgin Shahr County, Ardabil Province, Iran","Over two days, wolves attacked people, dogs and livestock in three villages. Eight people were injured, one seriously.",Eight people,NA,NA,Iran
"Yura Arushanyan, male","October 17, 2013",Predatory,"Katnajur, Lori region, Armenia","A wolf bit one resident, then gnawed on another man's door. The wolf severely injured this man when he and his brother came out to fight the wolf.",Yura Arushanyan,NA,NA,Armenia
"Yura Arushanyan, male","October 17, 2013",Predatory,"Katnajur, Lori region, Armenia","A wolf bit one resident, then gnawed on another man's door. The wolf severely injured this man when he and his brother came out to fight the wolf.",male,NA,male,Armenia
"Michelle Prosser, adult, female","October 15, 2013",Predatory,"Merritt, British Columbia, Canada","Wolves stalked a woman and her dogs on a forestry road, fatally injuring one dog.",Michelle Prosser,NA,NA,Canada
"Michelle Prosser, adult, female","October 15, 2013",Predatory,"Merritt, British Columbia, Canada","Wolves stalked a woman and her dogs on a forestry road, fatally injuring one dog.",adult,adult,NA,Canada
"Michelle Prosser, adult, female","October 15, 2013",Predatory,"Merritt, British Columbia, Canada","Wolves stalked a woman and her dogs on a forestry road, fatally injuring one dog.",female,NA,female,Canada
Eight adults,"October 10, 2013",Unprovoked,"Eshtehard City, Karaj County, Alborz Province, Iran","In a series of attacks over the course of a night, a wolf injured eight people.",Eight adults,adult,NA,Iran
"Zeki Cane, 74, male","October 7, 2013",Unprovoked,"Solhan, Bingöl Province, Turkey",A wolf seriously injured a man who then killed the wolf with a rock.,Zeki Cane,NA,NA,Turkey
"Zeki Cane, 74, male","October 7, 2013",Unprovoked,"Solhan, Bingöl Province, Turkey",A wolf seriously injured a man who then killed the wolf with a rock.,NA,NA,NA,Turkey
"Zeki Cane, 74, male","October 7, 2013",Unprovoked,"Solhan, Bingöl Province, Turkey",A wolf seriously injured a man who then killed the wolf with a rock.,male,NA,male,Turkey
"Daulet Tuyeshiyev, adult, male","September 5, 2013",Predatory,"Zhetybay Village, Karakiyansky District, Mangistau Region, Kazakhstan.",A wolf attacked and seriously injured a police officer who was inspecting his car.,Daulet Tuyeshiyev,NA,NA,Kazakhstan.
"Daulet Tuyeshiyev, adult, male","September 5, 2013",Predatory,"Zhetybay Village, Karakiyansky District, Mangistau Region, Kazakhstan.",A wolf attacked and seriously injured a police officer who was inspecting his car.,adult,adult,NA,Kazakhstan.
"Daulet Tuyeshiyev, adult, male","September 5, 2013",Predatory,"Zhetybay Village, Karakiyansky District, Mangistau Region, Kazakhstan.",A wolf attacked and seriously injured a police officer who was inspecting his car.,male,NA,male,Kazakhstan.
"Noah Graham, 16, male","August 24, 2013",Unprovoked,"Near Lake Winnibigoshish, Minnesota, US","A wolf mauled a boy who was camping, inflicting serious injuries.",Noah Graham,NA,NA,US
"Noah Graham, 16, male","August 24, 2013",Unprovoked,"Near Lake Winnibigoshish, Minnesota, US","A wolf mauled a boy who was camping, inflicting serious injuries.",NA,NA,NA,US
"Noah Graham, 16, male","August 24, 2013",Unprovoked,"Near Lake Winnibigoshish, Minnesota, US","A wolf mauled a boy who was camping, inflicting serious injuries.",male,NA,male,US
"Adil Ahmad, 9, male","July 13, 2013",Predatory,"Kreeri area, Baramulla district, north of Srinagar, India",A wolf fatally bit a boy on the neck.,Adil Ahmad,NA,NA,India
"Adil Ahmad, 9, male","July 13, 2013",Predatory,"Kreeri area, Baramulla district, north of Srinagar, India",A wolf fatally bit a boy on the neck.,NA,NA,NA,India
"Adil Ahmad, 9, male","July 13, 2013",Predatory,"Kreeri area, Baramulla district, north of Srinagar, India",A wolf fatally bit a boy on the neck.,male,NA,male,India
"Aadil Hameed Sheikh, 7, male","July 13, 2013",Predatory,"Hail village, northern Kashmir",Two wolves killed a boy.,Aadil Hameed Sheikh,NA,NA,northern Kashmir
"Aadil Hameed Sheikh, 7, male","July 13, 2013",Predatory,"Hail village, northern Kashmir",Two wolves killed a boy.,NA,NA,NA,northern Kashmir
"Aadil Hameed Sheikh, 7, male","July 13, 2013",Predatory,"Hail village, northern Kashmir",Two wolves killed a boy.,male,NA,male,northern Kashmir
"William Hollan, adult, male","July 6, 2013",Unprovoked,"Alaska Highway west of Watson Lake, Yukon, Canada","A wolf chased a bicyclist, ripping open the rear pannier bags before a motorist stopped to offer shelter from the attack. No injuries.",William Hollan,NA,NA,Canada
"William Hollan, adult, male","July 6, 2013",Unprovoked,"Alaska Highway west of Watson Lake, Yukon, Canada","A wolf chased a bicyclist, ripping open the rear pannier bags before a motorist stopped to offer shelter from the attack. No injuries.",adult,adult,NA,Canada
"William Hollan, adult, male","July 6, 2013",Unprovoked,"Alaska Highway west of Watson Lake, Yukon, Canada","A wolf chased a bicyclist, ripping open the rear pannier bags before a motorist stopped to offer shelter from the attack. No injuries.",male,NA,male,Canada
"Mevlüt Özcanlı, 80, maleFikriye Pişkin, maleCihan Erdoğan, femaleMustafa Savaş, maleAsiye Aktepe, female","June 12, 2013",NA,"Hacılar village, near Tortum, Erzurum province, Turkey",A wolf killed one man and injured four other people.,Mevl,NA,NA,Turkey
"Mevlüt Özcanlı, 80, maleFikriye Pişkin, maleCihan Erdoğan, femaleMustafa Savaş, maleAsiye Aktepe, female","June 12, 2013",NA,"Hacılar village, near Tortum, Erzurum province, Turkey",A wolf killed one man and injured four other people.,NA,NA,NA,Turkey
"Mevlüt Özcanlı, 80, maleFikriye Pişkin, maleCihan Erdoğan, femaleMustafa Savaş, maleAsiye Aktepe, female","June 12, 2013",NA,"Hacılar village, near Tortum, Erzurum province, Turkey",A wolf killed one man and injured four other people.,male,NA,male,Turkey
"Mevlüt Özcanlı, 80, maleFikriye Pişkin, maleCihan Erdoğan, femaleMustafa Savaş, maleAsiye Aktepe, female","June 12, 2013",NA,"Hacılar village, near Tortum, Erzurum province, Turkey",A wolf killed one man and injured four other people.,Fikriye Pi,NA,NA,Turkey
"Mevlüt Özcanlı, 80, maleFikriye Pişkin, maleCihan Erdoğan, femaleMustafa Savaş, maleAsiye Aktepe, female","June 12, 2013",NA,"Hacılar village, near Tortum, Erzurum province, Turkey",A wolf killed one man and injured four other people.,male,NA,male,Turkey
"Mevlüt Özcanlı, 80, maleFikriye Pişkin, maleCihan Erdoğan, femaleMustafa Savaş, maleAsiye Aktepe, female","June 12, 2013",NA,"Hacılar village, near Tortum, Erzurum province, Turkey",A wolf killed one man and injured four other people.,Cihan Erdo,NA,NA,Turkey
"Mevlüt Özcanlı, 80, maleFikriye Pişkin, maleCihan Erdoğan, femaleMustafa Savaş, maleAsiye Aktepe, female","June 12, 2013",NA,"Hacılar village, near Tortum, Erzurum province, Turkey",A wolf killed one man and injured four other people.,female,NA,female,Turkey
"Mevlüt Özcanlı, 80, maleFikriye Pişkin, maleCihan Erdoğan, femaleMustafa Savaş, maleAsiye Aktepe, female","June 12, 2013",NA,"Hacılar village, near Tortum, Erzurum province, Turkey",A wolf killed one man and injured four other people.,Mustafa Sava,NA,NA,Turkey
"Mevlüt Özcanlı, 80, maleFikriye Pişkin, maleCihan Erdoğan, femaleMustafa Savaş, maleAsiye Aktepe, female","June 12, 2013",NA,"Hacılar village, near Tortum, Erzurum province, Turkey",A wolf killed one man and injured four other people.,male,NA,male,Turkey
"Mevlüt Özcanlı, 80, maleFikriye Pişkin, maleCihan Erdoğan, femaleMustafa Savaş, maleAsiye Aktepe, female","June 12, 2013",NA,"Hacılar village, near Tortum, Erzurum province, Turkey",A wolf killed one man and injured four other people.,Asiye Aktepe,NA,NA,Turkey
"Mevlüt Özcanlı, 80, maleFikriye Pişkin, maleCihan Erdoğan, femaleMustafa Savaş, maleAsiye Aktepe, female","June 12, 2013",NA,"Hacılar village, near Tortum, Erzurum province, Turkey",A wolf killed one man and injured four other people.,female,NA,female,Turkey
"Feyzullah Aydin, malePınar Aydın, femaleGülgez Aydin, femaleKamile Aydin, femaleRukiye Aydin, female","April 26, 2013",Predatory,"Yemişen, Bulanık, Muş, Turkey","Wolves attacked a dog in a family's garden, then subsequently injured all five members of the family who exited their home to rescue the dog and each other.",Feyzullah Aydin,NA,NA,Turkey
"Feyzullah Aydin, malePınar Aydın, femaleGülgez Aydin, femaleKamile Aydin, femaleRukiye Aydin, female","April 26, 2013",Predatory,"Yemişen, Bulanık, Muş, Turkey","Wolves attacked a dog in a family's garden, then subsequently injured all five members of the family who exited their home to rescue the dog and each other.",male,NA,male,Turkey
"Feyzullah Aydin, malePınar Aydın, femaleGülgez Aydin, femaleKamile Aydin, femaleRukiye Aydin, female","April 26, 2013",Predatory,"Yemişen, Bulanık, Muş, Turkey","Wolves attacked a dog in a family's garden, then subsequently injured all five members of the family who exited their home to rescue the dog and each other.",P,NA,NA,Turkey
